Date,AAPL,MSFT,NVDA,JNJ,NVS,JPM,GS,AMZN,DIS,MCD,NEE,BA,CAT,XOM,CVX,RIO,BHP
2010-02-18,,,,,,,,,,,,,,,,,
2010-02-19,,,,,,,,,,,,,,,,,
2010-02-22,,,,,,,,,,,,,,,,,
2010-02-23,,,,,,,,,,,,,,,,,
2010-02-24,,,,,,,,,,,,,,,,,
2010-02-25,,,,,,,,,,,,,,,,,
2010-02-26,,,,,,,,,,,,,,,,,
2010-03-01,,,,,,,,,,,,,,,,,
2010-03-02,,,,,,,,,,,,,,,,,
2010-03-03,,,,,,,,,,,,,,,,,
2010-03-04,,,,,,,,,,,,,,,,,
2010-03-05,,,,,,,,,,,,,,,,,
2010-03-08,,,,,,,,,,,,,,,,,
2010-03-09,,,,,,,,,,,,,,,,,
2010-03-10,,,,,,,,,,,,,,,,,
2010-03-11,,,,,,,,,,,,,,,,,
2010-03-12,,,,,,,,,,,,,,,,,
2010-03-15,,,,,,,,,,,,,,,,,
2010-03-16,,,,,,,,,,,,,,,,,
2010-03-17,,,,,,,,,,,,,,,,,
2010-03-18,,,,,,,,,,,,,,,,,
2010-03-19,,,,,,,,,,,,,,,,,
2010-03-22,,,,,,,,,,,,,,,,,
2010-03-23,,,,,,,,,,,,,,,,,
2010-03-24,,,,,,,,,,,,,,,,,
2010-03-25,,,,,,,,,,,,,,,,,
2010-03-26,,,,,,,,,,,,,,,,,
2010-03-29,,,,,,,,,,,,,,,,,
2010-03-30,,,,,,,,,,,,,,,,,
2010-03-31,,,,,,,,,,,,,,,,,
2010-04-01,,,,,,,,,,,,,,,,,
2010-04-05,,,,,,,,,,,,,,,,,
2010-04-06,,,,,,,,,,,,,,,,,
2010-04-07,,,,,,,,,,,,,,,,,
2010-04-08,,,,,,,,,,,,,,,,,
2010-04-09,,,,,,,,,,,,,,,,,
2010-04-12,,,,,,,,,,,,,,,,,
2010-04-13,,,,,,,,,,,,,,,,,
2010-04-14,,,,,,,,,,,,,,,,,
2010-04-15,,,,,,,,,,,,,,,,,
2010-04-16,,,,,,,,,,,,,,,,,
2010-04-19,,,,,,,,,,,,,,,,,
2010-04-20,,,,,,,,,,,,,,,,,
2010-04-21,,,,,,,,,,,,,,,,,
2010-04-22,,,,,,,,,,,,,,,,,
2010-04-23,,,,,,,,,,,,,,,,,
2010-04-26,,,,,,,,,,,,,,,,,
2010-04-27,,,,,,,,,,,,,,,,,
2010-04-28,,,,,,,,,,,,,,,,,
2010-04-29,,,,,,,,,,,,,,,,,
2010-04-30,,,,,,,,,,,,,,,,,
2010-05-03,,,,,,,,,,,,,,,,,
2010-05-04,,,,,,,,,,,,,,,,,
2010-05-05,,,,,,,,,,,,,,,,,
2010-05-06,,,,,,,,,,,,,,,,,
2010-05-07,,,,,,,,,,,,,,,,,
2010-05-10,,,,,,,,,,,,,,,,,
2010-05-11,,,,,,,,,,,,,,,,,
2010-05-12,,,,,,,,,,,,,,,,,
2010-05-13,,,,,,,,,,,,,,,,,
2010-05-14,,,,,,,,,,,,,,,,,
2010-05-17,,,,,,,,,,,,,,,,,
2010-05-18,,,,,,,,,,,,,,,,,
2010-05-19,,,,,,,,,,,,,,,,,
2010-05-20,,,,,,,,,,,,,,,,,
2010-05-21,,,,,,,,,,,,,,,,,
2010-05-24,,,,,,,,,,,,,,,,,
2010-05-25,,,,,,,,,,,,,,,,,
2010-05-26,,,,,,,,,,,,,,,,,
2010-05-27,,,,,,,,,,,,,,,,,
2010-05-28,,,,,,,,,,,,,,,,,
2010-06-01,,,,,,,,,,,,,,,,,
2010-06-02,,,,,,,,,,,,,,,,,
2010-06-03,,,,,,,,,,,,,,,,,
2010-06-04,,,,,,,,,,,,,,,,,
2010-06-07,,,,,,,,,,,,,,,,,
2010-06-08,,,,,,,,,,,,,,,,,
2010-06-09,,,,,,,,,,,,,,,,,
2010-06-10,,,,,,,,,,,,,,,,,
2010-06-11,,,,,,,,,,,,,,,,,
2010-06-14,,,,,,,,,,,,,,,,,
2010-06-15,,,,,,,,,,,,,,,,,
2010-06-16,,,,,,,,,,,,,,,,,
2010-06-17,,,,,,,,,,,,,,,,,
2010-06-18,,,,,,,,,,,,,,,,,
2010-06-21,,,,,,,,,,,,,,,,,
2010-06-22,,,,,,,,,,,,,,,,,
2010-06-23,,,,,,,,,,,,,,,,,
2010-06-24,,,,,,,,,,,,,,,,,
2010-06-25,,,,,,,,,,,,,,,,,
2010-06-28,,,,,,,,,,,,,,,,,
2010-06-29,,,,,,,,,,,,,,,,,
2010-06-30,,,,,,,,,,,,,,,,,
2010-07-01,,,,,,,,,,,,,,,,,
2010-07-02,,,,,,,,,,,,,,,,,
2010-07-06,,,,,,,,,,,,,,,,,
2010-07-07,,,,,,,,,,,,,,,,,
2010-07-08,,,,,,,,,,,,,,,,,
2010-07-09,,,,,,,,,,,,,,,,,
2010-07-12,,,,,,,,,,,,,,,,,
2010-07-13,,,,,,,,,,,,,,,,,
2010-07-14,,,,,,,,,,,,,,,,,
2010-07-15,,,,,,,,,,,,,,,,,
2010-07-16,,,,,,,,,,,,,,,,,
2010-07-19,,,,,,,,,,,,,,,,,
2010-07-20,,,,,,,,,,,,,,,,,
2010-07-21,,,,,,,,,,,,,,,,,
2010-07-22,,,,,,,,,,,,,,,,,
2010-07-23,,,,,,,,,,,,,,,,,
2010-07-26,,,,,,,,,,,,,,,,,
2010-07-27,,,,,,,,,,,,,,,,,
